id,title,description,credits,department,level
15-440,Distributed Systems,"This course introduces the fundamental concepts of distributed computer systems. Topics include communication protocols, naming and directory services, synchronization, consistency and replication, fault tolerance, distributed file systems, distributed shared memory, load balancing, and security in distributed systems. Students will implement significant distributed systems programming projects and gain practical experience with distributed system design and implementation challenges.",12,Computer Science,Undergraduate
33-151,Matter and Interactions I,"This course covers mechanics from atoms to astronomy using a modern approach that integrates computational modeling with analytical and experimental methods. Topics include particle mechanics, systems of particles, rotational motion, oscillations, and waves. Students use computational tools to model physical systems and visualize complex phenomena. The course emphasizes conceptual understanding, problem-solving skills, and the connections between physics principles and real-world applications.",12,Physics,Undergraduate
21-355,Principles of Real Analysis I,"This course provides a rigorous introduction to real analysis. Topics include the real number system, sequences and series, limits, continuity, differentiation, integration (Riemann integral), sequences and series of functions, uniform convergence, and the fundamental theorem of calculus. The course emphasizes mathematical proof techniques and abstract thinking. Students will develop skills in constructing rigorous mathematical arguments and understanding the theoretical foundations of calculus.",12,Mathematics,Undergraduate
05-317,Social Psychology,"This course examines how individuals' thoughts, feelings, and behaviors are influenced by social contexts. Topics include social cognition, attribution theory, attitudes and persuasion, conformity and obedience, group dynamics, prejudice and stereotyping, aggression, altruism, and interpersonal relationships. Students will analyze classic and contemporary research, conduct their own research projects, and apply social psychological principles to understanding real-world phenomena.",9,Psychology,Undergraduate
15-318,Introduction to Computer Music,"This course explores the intersection of computer science and music, covering both theoretical foundations and practical applications. Topics include digital audio processing, synthesis techniques, algorithmic composition, music information retrieval, and interactive music systems. Students will program musical applications, analyze digital audio, and create original compositions using computational tools. The course combines technical skills with creative expression and musical understanding.",12,Computer Science,Undergraduate
76-101,Interpretation and Argument,"This course develops critical thinking and communication skills through the analysis and construction of arguments. Students will learn to identify assumptions, evaluate evidence, recognize logical fallacies, and construct persuasive arguments in written and oral forms. Topics include argumentation theory, rhetorical strategies, research methods, and effective communication techniques. The course emphasizes practical applications across academic and professional contexts.",9,English,Undergraduate
10-301,Introduction to Machine Learning,"This course provides a broad introduction to machine learning and statistical pattern recognition. Topics include supervised learning (classification and regression), unsupervised learning (clustering, dimensionality reduction), statistical learning theory, feature selection, model selection and validation. The course covers both theoretical foundations and practical implementation of machine learning algorithms. Students will complete programming assignments and a final project applying machine learning to real-world problems.",12,Machine Learning,Undergraduate
15-462,Computer Graphics,"This course provides an introduction to the mathematical and programming techniques used in computer graphics. Topics include 2D and 3D transformations, viewing and projection, hidden surface removal, lighting and shading models, texture mapping, ray tracing, animation techniques, and GPU programming. Students will implement graphics algorithms and create interactive 3D applications. The course combines mathematical theory with practical programming skills in graphics systems.",12,Computer Science,Undergraduate
21-484,Graph Theory,"This course provides an introduction to graph theory and its applications. Topics include basic graph concepts, trees, connectivity, Eulerian and Hamiltonian graphs, planar graphs, graph coloring, network flows, and matching theory. The course emphasizes both theoretical results and algorithmic applications. Students will learn to model problems using graphs and apply graph-theoretic techniques to solve computational problems in various domains.",9,Mathematics,Undergraduate
85-213,Human Factors in Engineering Design,"This course examines the application of human factors principles to engineering design. Topics include human capabilities and limitations, ergonomics, user interface design, safety systems, workload assessment, and design for accessibility. Students will learn to design systems that are safe, efficient, and user-friendly by considering human factors throughout the design process. The course includes hands-on projects and case studies from various engineering domains.",9,Engineering and Public Policy,Undergraduate
